Info.ISIN,Info.CompanyDescription,Info.CompanyName,Info.Ticker,Info.Country,Info.List,Info.Industry,Info.ReportDate.Next,Stock.LatestPrice,Stock.Return.Act_1d,Stock.Return.Act_1w,Stock.Return.Act_1m,Stock.Return.Act_3m,Stock.Return.Act_6m,Stock.Return.Act_1y,Stock.Return.Act_3y,Stock.Return.Act_5y,Valuation.MarketCap,Valuation.P_E.Latest,Valuation.P_E.Avg_1y,Valuation.P_E.Avg_3y,Valuation.P_S.Latest,Valuation.P_S.Avg_1y,Valuation.P_S.Avg_3y,Valuation.P_FCF.Latest,Valuation.P_FCF.Avg_1y,Valuation.P_FCF.Avg_3y,TA.MA5_MA20,TA.MA20_MA70,TA.MA50_MA200,Strat.Graham,Profitability.ROC
SE0000148884,"SEB är en nordisk finansiell koncern som tillhandahåller finansiella tjänster och hanterar finansiella risker och transaktioner för företag och privatpersoner. Verksamheten är indelad i fem divisioner:

Stora företag och Institutioner: Tjänster riktade itll stora företagskunder och institutioner i ett 20-tal länder främst i Norden och Tyskland.
Kontorsrörelse: Banktjänster och rådgivning för privatpersoner samt små- och medelstora företag i Sverige samt kortverksamhet i Norden.
Kapitalförvaltning: Kapitalförvaltning och private banking-tjänster för institutioner och kapitalstarka personer i Norden.
Liv: Ansvarar för liv- och pensionsförsäkringsverksamheten främst i Sverige, Danmark, Baltikum.
Baltikum: Banktjänster och rådgivning till privatpersoner och små- och medelstora företag i Baltikum",SEB A,SEB A,Sverige,Large Cap,Bank,2017-04-27,105.400001525878,,0.00190118432510644,0.0456349030137062,0.0173745471984148,0.13333335518837,0.310945272445679,0.183604702353477,1.57073175907135,231036.796875,13.4308595657348,16.575340270996,14.5375995635986,5.16248798370361,4.51827907562255,4.73284816741943,1.48407804965972,0.459077507257462,5.15615701675415,0.00218987464904785,0.0188043117523193,0.0728148221969604,,0.00838083028793335
SE0009664436,,SECITS Holding,SECI,Sverige,First North,IT-Tjänster,,13.4499998092651,-0.0627178102731705,-0.00370371784083545,,,,,,,,,,,,,,,,,0.0297554731369019,,,2,
SE0008613970,,Sectra,SECT B,Sverige,Mid Cap,Sjukvård,2017-05-30,179,0.0199430212378502,0.0654761865735054,0.0948012247681618,0.129337534308434,0.366412192583084,0.529914498329162,1.13095235824584,3.38624453544616,6754.20703125,49.2123298645019,43.1523094177246,40.3402404785156,6.03968811035156,5.11678218841552,4.9257378578186,41.7898902893066,52.9747085571289,103.672798156738,-0.00834059715270996,0.0627689361572266,0.1136769130826,2,0.46573069691658
SE0000163594,"Securitas är ett säkerhetsföretag verksamt inom specialiserad bevakning, mobila säkerhetstjänster, larmövervakning, tekniklösningar samt konsult- och säkerhetsutredningstjänster. Bolaget har kunder i många olika branscher och segment, däribland offentlig sektor, flygplatser, distribution, kontor, banker, shoppingcentra, hotell, tillverkningsindustri, gruvindustri, sjukhus, bostadsområden och högteknologiska IT-företag. Securitas har verksamhet i 52 länder i Nordamerika, Latinamerika, Europa, Mellanöstern, Asien och Afrika.",Securitas,SECU B,Sverige,Large Cap,Tjänster & Leverans,2017-05-03,138,-0.00504684215411544,-0.00144715595524758,-0.0567327588796616,0.0306199118494987,0.0470409505069256,0.0518292896449566,0.79453831911087,1.5939849615097,50378.140625,18.7489795684814,17.8823795318603,17.9252605438232,0.559517085552215,0.542881786823272,0.53731632232666,41.4771499633789,-9.10998344421386,12.1221704483032,-0.011828601360321,0.00591075420379639,,3,0.145914003252983
NO0010612450,,Selvaag Bolig,SBO,Norge,OB Match,Fastigheter,2017-05-22,35.4000015258789,-0.0220994260162115,-0.00281685823574662,0.0381232611835003,-0.108312323689461,-0.144927531480789,0.160655781626701,0.806122541427612,,3318.14794921875,9.89186000823974,10.543999671936,9.5286865234375,1.17130398750305,1.00162601470947,0.978322088718414,-11.2404499053955,1.14422297477722,0.436295211315155,-0.00473666191101074,-0.0385013222694397,-0.0732929110527039,,0.0948634520173073
CA8169221089,,Semafo,SMF,Sverige,Mid Cap,Gruv & Metall,,18.3899993896484,-0.00809069722890854,-0.0186766479164362,-0.0636456236243248,-0.418037980794907,-0.332244068384171,-0.442558407783508,-0.198692858219147,-0.494780272245407,5798.18310546875,37.6381492614746,32.5763702392578,34.4491996765136,2.14788007736206,3.32387900352478,2.8940839767456,37.7307510375976,21.1995906829833,16.5791301727294,-0.0231278538703918,-0.239899098873138,-0.231868207454681,3,0.0750027596950531
SE0000379497,,Semcon,SEMC,Sverige,Small Cap,Tjänster & Leverans,2017-04-26,63.75,-0.0267175585031509,-0.0267175585031509,-0.0229885056614876,0.108695648610592,0.416666686534882,0.643041312694549,-0.0693430677056313,0.382863402366638,1154.70397949218,-33.4698410034179,-3.41894793510437,66.9897079467773,0.737971425056457,0.442116290330887,0.509579718112945,4.65043783187866,-956.342712402343,-1401.60400390625,0.00868892669677734,0.0791511535644531,0.174237132072449,1,0.25762090086937
SE0003037456,,SensoDetect,SDET,Sverige,Aktietorget,Sjukvård,,1.54999995231628,,-0.0251572821289301,-0.114285744726658,-0.243902429938316,-0.104046277701855,0.435185074806213,-0.840206205844879,-0.933921873569488,27.7759990692138,-3.39688801765441,-4.70340919494628,-5.42549800872802,262.037811279296,232.160903930664,209.693206787109,-3.46032094955444,-4.68315315246582,-5.14313697814941,-0.0697951316833496,-0.0894374847412109,-0.0999439358711243,1,-2.04820489883422
SE0007730510,,Sensori,SORI MTF,Sverige,NGM,Sjukvård,,10.6000003814697,0.0192308444529772,0.0392157435417175,0.0707071498036385,-0.00934574101120234,-0.123966939747334,-0.0275228675454855,-0.469999969005585,-0.466263860464096,108.59700012207,-12.1059799194335,-27.4829502105712,-26.9025497436523,107.521797180175,37.3068885803222,38.1912002563476,-1.19870901107788,1.32838296890258,3.46358895301818,0.0362589359283447,-0.0437589250504971,-0.116267919540405,1,-0.240376889705658
SE0000567729,,Sensys Gatso,SENS,Sverige,Mid Cap,Elektronisk utrustning,2017-05-18,0.845000028610229,0.0304878503084183,-0.0451976954936981,-0.231818184256554,-0.339843720197678,-0.519886374473571,-0.624444425106048,-0.265217334032059,2.38000011444091,555.296020507812,-30.9523792266845,-465.335296630859,-18.2708091735839,1.6179529428482,3.68871688842773,3.45238304138183,9.21117973327636,-45.0788993835449,44.013069152832,-0.136466443538666,-0.114146709442139,-0.309412181377411,1,-0.0557886995375156
