"Bolagsnamn";"Info";"Info";"Info";"Info";"Info";"Aktiekurs";"Börsvärde";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kursutveck.";"P/E";"P/E";"P/E";"P/S";"P/S";"P/S";"P/FCF";"P/FCF";"P/FCF";"Medelvärde";"Medelvärde";"Medelvärde";"Info";"N. Rapport";"Graham"
"";"Land";"Lista";"Bransch";"Ticker";"ISIN";"Senaste";"Senaste";"Utveck.  1d";"Utveck.  1v";"Utveck.  1m";"Utveck.  3m";"Utveck.  6m";"Utveck.  1 år";"Utveck.  3 år";"Utveck.  5 år";"Senaste";"Snitt 1 år";"Snitt 3 år";"Senaste";"Snitt 1 år";"Snitt 3 år";"Senaste";"Snitt 1 år";"Snitt 3 år";"MA(5)/MA(20)";"MA(20)/MA(70)";"MA(50)/MA(200)";"N. Rapport";"Antal dagar";"Poäng"
"Ambu";"Denmark";"Large Cap";"Sjukvård";"AMBU B";"DK0060591204";401.5;0.4015;0.04231565;-0.03136309;0.2550797;0.4157264;0.358714;0.5745098;3.655072;9.851352;"";"";"";"";"";"";"";"";"";0.0371089;0.1905825;0.05529368;"2017-05-02";"";2
"Amer Sports";"Finland";"Large Cap";"Konsument";"AMEAS";"FI0009000285";20.53;2410.222;0.03165835;-0.005329395;-0.05478815;-0.08552339;-0.1830481;-0.195848;0.4071282;1.209903;19.56356;22.12206;21.4511;0.9101359;1.081684;1.022996;34.23611;249.4727;445.7978;-0.0146724;-0.04626906;-0.1230787;"2017-04-27";"";4
"American Shipping";"Norge";"OB Match";"Tjänster & Leverans";"AMSC";"NO0010272065";26;1576.016;-0.003831432;-0.02621726;-0.04059042;-0.03703704;0.08333333;-0.007633617;-0.4695545;10.20159;26.27059;30.10024;19.09511;2.119441;2.752474;2.900064;3.289432;8.156741;11.21723;-0.01809365;-0.03101116;0.04752803;"";"";2
"Amnode";"Sverige";"Aktietorget";"Produktion";"AMNO";"SE0002069633";0.304;18.51694;-0.02250804;-0.1058824;-0.234257;-0.2962963;-0.6176101;-0.7236364;-0.924;"";-1.65038;-2.937075;-2.603489;0.2393236;0.3487625;0.3022836;-1.468783;9.783229;-5.000699;-0.1692594;-0.06034488;-0.3473728;"2017-05-09";"";1
"Andersen & Martini";"Denmark";"Small Cap";"Återförsäljare";"AM B";"DK0010283597";90.5;0.0905;0.04022988;0.03428571;0.06470588;0.3308823;0.9588745;0.8854166;1.413333;0.8469388;"";"";"";"";"";"";"";"";"";0.01644921;0.09799088;0.3890396;"";"";2
"Angler Gaming";"Sverige";"Aktietorget";"Betting & Spel";"ANGL";"MT0000650102";4.71;350.0425;0.002127708;-0.02685953;-0.04655871;0.0608108;0.5392157;0.3380682;1.478947;"";20.55871;53.04607;-24.04737;4.400969;4.859994;4.801338;78.72138;-183.1333;-3.799375;-0.0243302;0.03207302;0.2286481;"2017-05-03";"";1
"Annexin";"Sverige";"First North";"Bioteknik";"ANNX";"SE0009664154";9.4;"";0.02173911;0.01621618;-0.03589747;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.01773834;-0.004814446;"";"";"";2
"Anoto";"Sverige";"Small Cap";"Elektronisk utrustning";"ANOT";"SE0000547929";0.172;308.3463;0.03614465;-0.03910614;-0.01714281;0.07500006;-0.01714281;-0.3064516;-0.6090909;-0.9085544;-1.319018;-6.794849;-5.684303;1.308454;4.153119;3.129403;-1.548794;-3.51474;-2.835543;-0.006340086;0.1630914;-0.1273333;"2017-05-12";"";1
"Apetit";"Finland";"Small Cap";"Livsmedel";"APETI";"FI0009003503";13.29;82.37142;0.005294985;-0.00820893;-0.01555556;-0.04319657;0.04645671;0.04645671;-0.2796748;-0.01555556;51.49167;45.22493;32.60848;0.2099705;0.2063101;0.2188123;7.225563;-63.67991;2.991741;-0.004673779;-0.02655441;0.0133512;"2017-05-05";"";3
"Apple";"USA";"NYSE & Nasdaq
";"Elektronisk utrustning";"AAPL";"US0378331005";147.51;776230.9;0;0;0.04854991;0.08686998;0.3402689;0.5659236;0.7078846;0.9468486;16.97429;13.85753;13.88097;3.521008;2.917175;2.983314;36.7047;30.13227;30.49009;0.006547093;0.03516424;0.1610311;"";"";3
"AppSpotr";"Sverige";"Aktietorget";"Programvara & Internet";"APTR";"SE0009267974";6.9;"";0.02222224;-0.02816899;-0.1585366;-0.369863;"";"";"";"";"";"";"";"";"";"";"";"";"";0.03601539;-0.2526996;-0.2507185;"2017-03-31";"";2
"Apptix";"Norge";"OB Standard";"IT-Tjänster";"APP";"NO0010123060";0.66;53.7438;-0.04347822;-0.1081081;-0.3195876;-0.4210526;-0.6683417;-0.6930232;-0.8544974;-0.8641976;9.282701;5.004767;2.954971;0.2320334;0.6302556;0.6671114;-0.4562888;2.651629;5.457001;-0.2086907;-0.08933359;-0.322547;"2017-05-10";"";1
"Aptahem";"Sverige";"Aktietorget";"Läkemedel";"APTA";"SE0006543450";4.4;34.2936;0.07843141;0.1891892;-0.07756811;-0.4913295;-0.548718;-0.6255319;"";"";-3.522254;-19.66882;-6.541079;204.1286;2581.808;204.1286;-3.696626;-16.67162;-5.797818;-0.0250535;-0.3473602;-0.3999718;"2017-05-18";"";1
